Frame,Protein_RMSD,Rg,GGPP_Lig1_RMSD,GGPP_Lig2_RMSD
0,1.3754086591583212e-06,19.870796892689768,0.0,0.0
1,0.6133329350286968,19.838654190872106,1.0402586536682286,0.8880911634066228
2,0.579287650391731,19.820274946307155,0.9943085095780819,1.1152827466884465
3,0.6388179965242375,19.769806910995467,0.8506677278099655,0.9354010599832954
4,0.6316557736113775,19.791185469418462,1.0104634184275583,1.0477108664118042
5,0.6723524129860503,19.82436621994386,0.8871075247440958,0.9664006813967013
6,0.7486043052948644,19.806088933363057,0.8580405450605088,1.0221762572982562
7,0.7326726837256401,19.93062983892762,0.7394557839368447,1.0518878736157726
8,0.7786263922312712,19.88386765117153,1.0602177909732944,1.060662918512205
9,0.7142985203423312,19.817710069569532,0.673766002167213,0.9716751977949868
10,0.8000958052215564,19.813833808079597,1.0306803992742142,1.1279978774343427
11,0.8213160114531404,19.798628808433726,1.1158092064644904,0.8882435889750264
12,0.8411601232638991,19.77772318580209,0.8208036019560884,0.9453331547426763
13,0.8020923112144938,19.751845715174706,0.7959195531715515,0.9016871895503901
14,0.8082080390184195,19.856936157556333,0.9465635820509112,1.0517086331374168
15,0.9118795598229423,19.84212520099546,1.1802468522127083,1.0297470783711316
16,0.8138101654156359,19.82250393080143,0.9384013998610031,0.9799776948660261
17,0.8364372174663118,19.77873330153334,1.0468123255692263,0.8547953045460617
18,0.796504169294524,19.863813377695667,0.904537854925972,0.981862990259227
19,0.7721819283924979,19.808126789626332,1.0717452628851247,0.9035337600703196
20,0.7539016230993137,19.859142088199707,0.8700051095327098,0.9598234947545888
21,0.8061785232750489,19.804199095051835,0.9262111343926566,0.8336930516381588
22,0.7936945118439237,19.840000229141655,1.0780112445568588,0.9678344756894777
23,0.7785229611136687,19.831680559980462,0.9126552640565941,1.0080061755661731
24,0.9318467581722125,19.808118161882803,0.8948656495222248,0.9921326978611943
25,0.8918514932342154,19.808523815791236,0.890444659346269,1.12799524505871
26,0.9045112207918073,19.75036737284684,1.0208677955297052,1.090680767422738
27,0.898020574719652,19.83312447708804,1.177136669478921,0.9254279383333882
28,0.8133187866483678,19.879549145097943,1.0301557887099084,1.2558578805587872
29,0.8005712533348065,19.77316623200676,0.8579895190712631,0.8840758939508345
30,0.77926029017644,19.86469089519073,1.158296237646625,0.9820782881502581
31,0.7620915775335751,19.866415821490175,0.910059835124536,1.0892727164302474
32,0.7302795041336654,19.83240651976012,0.942570374514799,0.8954349066686137
33,0.6919282457074981,19.810307615205183,0.9030989721437672,0.8455812170451213
34,0.7971989721423928,19.81928121331784,0.9633735993459712,1.0266137213782163
35,0.715197883079918,19.82467626704774,0.8273890114579092,0.9204837738350082
36,0.8529733287365294,19.81520035832932,0.8536416526425376,0.8474126846365981
37,0.7639581160180048,19.775954713329845,1.1436420708713293,1.1417821337900316
38,0.7105422288982886,19.86148115914606,1.2875991103029623,0.8160948617266213
39,0.738830054441057,19.81071756181981,0.8742967018863629,0.9097943818721935
40,0.7674150914994585,19.820137006376346,0.9914880125817266,1.0720024115199707
41,0.7551197851663002,19.777631314133167,1.0010634977149073,0.8559269475993866
42,0.8473487297118774,19.84863084676239,1.038339775062317,0.9044475754858949
43,0.9033909618280647,19.816244337673055,1.0168018043345446,0.9607471768039649
44,0.7555963947871781,19.840224021481937,0.9791120809606653,0.9759760313276732
45,0.754638105618819,19.836886876294656,0.8634133953771138,0.9750800494963223
46,0.6970996644167758,19.854471766249752,0.9586575102726371,0.9614933656001112
47,0.7489245620674533,19.84977978896816,0.8108781721188745,0.9150862996295759
48,0.8653263664807852,19.777722152635707,1.0048677998024942,0.94859720286096
49,0.8596996320459536,19.869443548593797,1.0894213956957275,0.9672449513491648
50,0.7860648279579461,19.91118021755836,1.02467734718863,0.6777109530981988
51,0.7784292919511568,19.828886438961373,0.8693314916522007,0.9155734474315036
52,0.8089734538166016,19.886876472922225,1.0286388559936182,0.9342229005357796
53,0.8118825121113054,19.88498793707155,0.9842303687450826,0.7843409607461815
54,0.7651185918966424,19.87087624825698,0.8477783372953486,0.8769316620297277
55,0.7924309235143501,19.8578139910727,0.8797291831155989,0.9191878314590951
56,0.8361180402921751,19.841472798078385,0.6915304376434717,1.086976392628252
57,0.8996367281298862,19.811435752150185,0.9645437953848393,0.9690573827378887
58,0.8589482112601532,19.907241134055454,1.1336630707781667,1.1179294165192015
59,0.8900594843865866,19.87904974772025,1.0687540644026872,0.7753457075099561
60,0.9297287739209315,19.818745428773195,1.0253330804871605,1.0519487472059632
61,0.8937947414062346,19.86576471272016,1.0975871685747247,1.0883878581529234
62,0.8628884950855925,19.864063300006396,1.1169019587939795,0.940696965803704
63,0.835021881305501,19.754056898907567,1.0164031813668992,0.9778104384996084
64,0.7955642261011877,19.805115084413284,1.119102495771759,1.0004851550965976
65,0.8851025798558149,19.7524970062404,1.2958320683619824,1.0129969681797866
66,0.7858770340921585,19.855966053914713,0.9620818087902666,1.0987964120265261
67,0.8405820962067925,19.880390860492668,0.9614718869510794,1.164813363191384
68,0.7763559883574065,19.828900258144255,0.8774853239974286,0.954469248421407
69,0.8129376194686964,19.74411727585925,0.8813795700273084,1.118299265083613
70,0.7916782057343312,19.775159775486774,1.1015236373323645,1.064735729364641
71,0.8653507224260996,19.803757047329395,0.7785731575179131,0.9303812654155229
72,0.778851729805028,19.864869841676615,1.1366601115402826,1.0422270127564464
73,0.8284685274244851,19.839229718795337,1.1879937433297818,1.0721905687507411
74,0.7681870349523291,19.84500198701776,0.8288363510426411,0.9926647572023304
75,0.8171185993271112,19.772119429115058,1.0868545940156673,1.217438831729477
76,0.8299523723735023,19.879811178528534,0.9074785342861339,0.9615577375416003
77,0.9323424687138596,19.9116525519749,0.9478565067421141,0.9517423925126969
78,0.8001782225663234,19.879653491384232,0.8096994602358868,1.0239827516924431
79,0.8786995527635412,19.87337969379398,1.0415623486799455,1.1109791388029102
80,0.8662726755870535,19.887781902052808,1.132082070419451,1.0221869227808507
81,0.7928793974349384,19.89446765651842,0.742596975299523,0.9249692268899409
82,0.7215256905839784,19.867448613269197,0.8550564761624094,0.8191290419071197
83,0.7766672161498668,19.845950526729233,0.9794878785261499,1.1854396780324619
84,0.7666911148416178,19.89782226560885,0.8782230373671662,0.9852018119732082
85,0.8277694406972566,19.923868684040045,1.1129515629191726,1.069594276891606
