Frame,Protein_RMSD,Rg,GGPP_Lig1_RMSD,GGPP_Lig2_RMSD
0,7.773772677795624e-07,19.792405781266808,0.0,0.0
1,0.63183177941862,19.824838465167172,5.378134903671507,2.766394242991851
2,0.6828092730832392,19.81812630616297,9.060851576422923,5.862154451033674
3,0.7497762743896305,19.834378608070097,7.400810890384249,5.267892698953464
4,0.6597094137015228,19.75011192681623,9.856115788719539,6.574722382898285
5,0.7366856818918764,19.86557215853293,7.84070568393171,6.116973666507464
6,0.7880003457266115,19.720716804391483,7.7142015275531115,10.762657059297338
7,0.813037119052797,19.77184703962372,8.36847466352197,10.882981254711003
8,0.7834142152715947,19.761972233844574,10.438320984221601,7.844193147447417
9,0.8540942927404639,19.76368124464582,10.977995792624506,5.69337558457699
10,0.7700221868096834,19.769853468234448,12.886227215495662,6.67290407172975
11,0.8259994203417259,19.8225164233732,11.407012809744865,8.744476381157543
12,0.7601673505351072,19.78420812695018,9.321229303511624,10.347511523042474
13,0.6837041427146986,19.83639612592817,9.431218948145057,12.897243826090826
14,0.8813989268821033,19.858337173747284,12.145633732680583,9.638772660285937
15,1.0076523507290516,19.744319553199507,12.000014255823618,14.657572082418866
16,0.8919089481203181,19.79112768288252,14.725047701739761,15.103705736141759
17,0.7885807519842463,19.748817741304634,16.443678275379835,14.74310890888217
18,0.8495748822989627,19.79513749414924,16.621860436842773,17.06111676442881
19,0.8552040355093379,19.788334248194587,22.179826109653764,17.50467051145588
20,0.8232437559088955,19.778687950076115,21.140434352404323,14.684445823748321
21,0.808688777490927,19.822411919507047,24.85909609195305,15.179782562544908
22,0.8772272974458626,19.823493800013754,23.074840120148135,14.382250480023757
23,0.7159340468962941,19.808968299193552,24.123779403596693,15.820832760322316
24,0.7731849213112794,19.805877424283697,27.133319223463154,13.528746334022461
25,0.8183107207783654,19.765022421726094,31.87162913313557,16.453160364197178
26,0.7724536172142233,19.788212676494652,30.30590394291764,18.94441970056882
27,0.7799751705862789,19.814475643028075,29.551345036425552,17.863451062213816
