Frame,MG284_GGPP_Lig1,MG284_GGPP_Lig2,MG285_GGPP_Lig1,MG285_GGPP_Lig2,MG286_GGPP_Lig1,MG286_GGPP_Lig2
0,24.788431028143364,20.317336094313262,7.150764154908935,9.855928900607477,4.465927298366359,7.54578081401293
1,25.078875595516863,20.639182945310903,7.371216624526643,10.230966602166037,4.440900816092838,7.7426100616962605
2,25.486578015765797,21.241983888986258,7.551313977618039,10.13648171919022,4.396288955645854,7.570100677258814
3,25.00763462277024,20.73130965089126,7.35837935222128,10.04268268550696,4.504835622773537,7.413391238931432
4,25.15328605564355,20.70415374284576,7.426524451099434,10.149402786163057,4.57790953189353,7.819711667387782
5,25.419055653669886,20.767828047595668,7.179112938972801,10.108424430107448,4.310481027999998,7.601693996581217
6,25.397433237350533,20.775426203240855,7.22901726875134,10.20283078549879,4.192472028791459,7.45669182502674
7,25.293671121754215,20.81594400177686,7.309756189310013,10.19859323093545,4.286520013265053,7.766769758923435
8,25.96865152769098,21.475299262277524,7.33730042280063,10.308979314171419,4.411135931670968,7.697286370956916
9,26.28168913947812,21.87027749532661,7.328379069709571,10.262354067711987,4.152719727355607,7.7901203086993736
10,25.28575096908603,20.791311530567,7.36353882938869,10.201189596858168,4.472306979633122,7.83316721164444
11,25.487071455557274,20.978872963086417,7.401055712365644,10.436478832730785,4.128328597651264,7.5918937853931165
12,24.748577053576653,20.345368488670086,7.309792021304554,9.98916635959023,4.562051818867233,7.763957249201899
13,25.429114212033316,21.0604293946447,7.492307313454622,10.084886332705787,4.397858284105853,7.527019888326962
14,24.690657391322322,20.57702626727701,7.7926806595488936,10.095326756501688,4.676409315408856,7.510246828917111
15,24.58333029735423,20.225695612419404,7.716026070498603,10.510787312338701,4.527038038924124,7.795000582624496
16,24.6518901245532,20.40147153673692,7.549445689501297,10.139641606638763,4.321337751429909,7.348382311625772
17,25.259805440880584,20.85564503749381,7.564048513268225,10.1580196338126,4.447136832712141,7.50756828263547
18,25.334460788174503,20.81090061936856,7.427770920580852,10.05549558791501,4.256032212961134,7.585781408635352
19,24.730675094632126,20.279673208618483,7.42432380410901,10.13646707770707,4.464476927482231,7.611311048074154
20,24.97868708785514,20.431545044822155,7.64535049337555,10.615447835552265,4.282771092885968,7.660731473020846
21,25.09931184181062,20.553080195412623,7.382346251265534,10.229361966908131,4.612652915306293,7.681919426549525
22,24.735360324428495,20.402827938632566,7.518877878632704,10.227569632178211,4.362616469866301,7.5398037611392015
23,24.874607563088887,20.416696434849587,7.7188676197559385,10.326782974490156,4.215492883369949,7.397231677066647
24,24.81145790785166,20.49205837791708,7.401847567437739,9.894719295820892,4.499741974789953,7.627296717341518
25,24.80509073764503,20.35796119757566,7.43006171025584,10.286611552540819,4.430534559241006,7.675724719213986
26,25.196066450557822,20.925443887696925,7.545209039470576,10.170288004016308,4.398273955185303,7.560332474325281
27,25.262006234048666,21.00502892021608,7.152166465321503,9.841977277580405,4.61646942531523,7.647965569149425
28,24.48595038620139,20.13128628533359,7.7396340524976095,10.318831495422218,4.676001420016959,7.706613970244172
29,25.180644352092614,20.878156467134204,7.421754169314003,10.045777359306872,4.57563342747597,7.678834353107257
30,25.24585548770786,20.986900154410083,7.190494712504794,9.837495794738219,4.346675642698648,7.519178546231971
31,25.014387711484595,20.687024223841654,7.48846102804974,10.124883628531338,4.373368146498843,7.57791467152118
32,25.276629575372592,20.843682897184337,7.624099352403324,10.21939531334433,4.660569018540596,7.657057789254451
33,24.91984284818377,20.60305024925675,7.528325630579061,10.196630346035093,4.52290354274809,7.483919550016123
34,24.98240878179275,20.829504561782507,7.254217201334934,9.85272752426466,4.602534210003519,7.62546209747851
35,24.937392743758593,20.54033091410806,7.33047358655897,10.190511862674548,4.734721540908527,8.007270937109741
36,25.513066545559052,21.06776914463273,7.793215663701528,10.465468800234898,4.586213948026038,7.8285486292686635
37,25.046472275537838,20.692427760791823,7.238053610879539,9.826415346606606,4.702283238513051,7.62594048951768
38,25.12447545531792,20.80699136614057,7.573361477745715,10.420031746172205,4.495588902121513,7.748809749546855
39,25.807710746641565,21.498274545296447,7.446904510053482,10.118668973708298,4.7153944162621775,7.647312686125243
40,25.163769481266453,20.99563273809971,7.4181358916411915,10.063194110406256,4.569255559703513,7.699429966959419
41,25.27682822006195,21.29687085146052,7.18094284527094,9.732406553540706,4.51555886868278,7.386189490213855
42,25.467766834145515,21.127883615479995,7.248488104211504,9.967191946360561,4.699015779029699,7.6928804058456635
43,24.95198098935136,20.63505046722601,7.5370359577510575,10.48392173815457,4.5155250430007845,7.678091432249418
44,25.26932382080989,21.076592556931185,7.4877952474669005,10.042978557937374,4.672378707509619,7.873221089766924
45,25.45079751145451,21.157281447816402,7.475938144628967,10.232849781934236,4.444877834669357,7.767856619349544
46,25.04674876020037,20.837383694134978,7.188641140989011,9.87145477698472,4.424014383855729,7.431646655333852
47,25.25006161948361,20.90594805731361,7.249343169935592,10.022074096420422,4.622860473695943,7.78450706679609
48,24.51779304128576,20.427462722490255,7.457852315119446,9.932585819121444,4.648732917740979,7.758796252923523
49,25.8009038348321,21.24790187006497,7.275085655683896,10.113330798277088,4.267730394705324,7.380458405722748
50,25.320067342846734,21.081668531568585,7.302870998251841,9.96028007044943,4.461297767782503,7.616334584380131
51,24.919478539439048,20.621745705192584,7.438038742438742,10.068363865848784,4.682315843273832,7.681455193024562
52,25.3189296889917,20.808616959802062,7.122559949633313,10.04284942684023,4.369501277841586,7.576964935026344
53,24.85683364165178,20.566929135954986,7.468277727108803,10.088395563577413,4.692099299196666,7.843865783238054
54,25.01750207963981,20.515125759063274,7.352690572637009,10.139491872915706,4.752558334797861,7.827776397362073
55,25.481526344558254,21.17148137127072,7.3477480852046995,10.000594202958109,4.5095784350150545,7.748011598346964
56,24.992886880439805,20.676801063726927,7.4162075713866935,9.892191909890359,4.602201140906137,7.614972885941002
57,25.262574184542096,20.78967677450149,7.417697630478139,10.414801730148165,4.472542798600726,7.739492971240535
58,25.392131243060906,20.869554265688294,7.200015936309281,10.075658491689154,4.5071020161846045,7.541880448103813
59,25.30956217077726,21.07509651837989,7.240425327273875,9.953019779509237,4.560745988447629,7.821461402686177
60,25.470917563637588,21.30134525290729,7.443238220967125,10.001488063433989,4.572670638968338,7.533394868771685
61,25.162598331313248,20.99510283473946,7.383644182706745,9.907632735083695,4.476663138179372,7.431500179626067
62,25.493617106676346,21.439176425809663,7.479849422795975,9.99570654309423,4.665904947816071,7.615572120151939
63,25.76233696479362,21.70455033774224,7.510570509473832,9.937832224536598,4.662509914698441,7.739609696388602
64,25.804564512850657,21.558216572347774,7.361372399184348,9.82058460553568,4.497771398626336,7.417810509385082
65,24.819132067806244,20.760594598191563,7.639627214721773,10.080241780220325,4.459431045413949,7.578918288237699
66,25.540273949921573,21.40330969639457,7.607383515026987,10.040526525411527,4.851352931128274,7.705868615487229
67,25.102754592390557,20.741194881006102,7.32968317604635,10.015170917539962,4.456820112743602,7.649005696858797
68,24.940945098955964,20.49647076408304,7.63796500590417,10.454161137662703,4.529988734176553,7.649366870819228
69,25.374917047575543,21.379333130645836,7.606516692847974,10.23719739309641,4.482084156798649,7.724032482639406
70,25.208555285987096,20.844685750378577,7.359408846099933,10.145592855974762,4.409367446416519,7.6102576253542455
71,24.625661036410047,20.54016167199985,7.639204727395291,9.983501556843017,4.631399973223836,7.672723168143381
72,25.011123430669098,21.12273531960373,7.8723674747762855,10.238074530487276,4.548043373323157,7.598502063519657
73,25.19418738040024,20.84590541256037,7.594010222674158,10.243557178706842,4.663412021132282,7.7852728086177825
74,25.740026448734046,21.546255617057504,7.58570169204876,9.97630627161081,4.517736522908754,7.539800746207416
75,25.30450705969231,21.14127002435375,7.489450896210033,10.18535014368165,4.593875657188371,7.8650644173499185
76,25.646354112269567,21.459823035913484,7.360174407908622,9.905135407342975,4.473814528070975,7.6704256116931155
77,25.17718951724443,21.038908472735553,7.577367462550611,10.231276148593393,4.498294554036932,7.630911806095218
78,26.60435620349814,22.111424761352716,7.51025415559371,10.390936018632768,4.546053639327156,7.923078273095202
79,25.20607580398267,20.94121591464918,7.599530273909561,10.287853722770022,4.510723735283318,7.741403988546119
80,25.159810061519664,20.8506116352612,7.420835009576625,10.008251316825806,4.521384181429994,7.6493898387945425
81,25.719693138250573,21.22587914810926,7.430194551380843,10.192740203524407,4.468829241315144,7.538091167641509
82,25.640182317437485,21.555675184890163,7.383288032086994,9.954982922286979,4.688459807374865,7.744167929537891
83,25.41367553017154,21.163530002012642,7.669701691805253,10.331111621573537,4.5080443537805275,7.697824192168804
84,25.666333850798118,21.49670782847264,7.260657373917542,9.931905593567972,4.679436917007275,7.723942156071166
85,25.579843649826252,21.290715456345396,7.3393510638116695,9.914357316067221,4.55790722565767,7.788727311828222
86,25.591754489631388,21.259542821281848,7.242174737386023,9.984288380887033,4.611037799248426,7.8548442660399855
87,24.753070883912084,20.475643629735735,7.4684935666985215,10.17101848354046,4.29258356872384,7.438911007073063
88,26.196485682011584,21.966986842326424,7.656386499289003,10.213088330799348,4.485899851998954,7.561034222436664
89,25.089263575573334,20.81370766288624,7.409363111153026,10.062041430521534,4.521770481319342,7.628827106624527
90,25.57290453173319,21.566628748474166,7.486610307436641,9.966500081341206,4.514667753296113,7.576151603324392
91,25.47760028492645,21.245747845139014,7.441122604522232,10.002518126931783,4.520403057013719,7.5719758096699685
92,25.55137665062511,21.360486040663098,7.430132234201614,9.97662302627984,4.75641613694486,7.781184800072095
93,25.42124596515519,21.317803824135197,7.47573598038939,10.127709617664479,4.5142194717138775,7.510331089741332
