Frame,Protein_RMSD,Rg,FSPP_Lig1_RMSD,FSPP_Lig2_RMSD
0,0.0,19.779599753567535,0.0,0.0
1,0.6693682526250329,19.7228352730705,1.6497902878345887,3.0068546189598373
2,0.6638762516392622,19.750118124607845,2.728108526699347,4.403874706527876
3,0.7693257766587841,19.70618923149527,3.23147737344938,3.900408502124574
4,0.7810403244895175,19.673731232169466,5.682195231943113,4.402601393235859
5,0.8075324386352221,19.65286345106663,9.24382850393064,4.010642841055303
6,0.749491085075864,19.696598074203294,8.737969919954873,6.791874621091637
7,0.7013548566927686,19.757988170208883,8.074967374510495,4.208170423374716
8,0.8632835230307416,19.64301386095264,7.779481088769808,2.315608455406373
9,0.8302975325773397,19.71064324198489,6.812138788160644,0.8608096670211034
10,0.8430684789895382,19.646259590110006,71.19561778097854,8.09742297641641
11,0.7615046269069281,19.687271877984838,69.12018732115548,11.045566010308711
12,0.8385341300743282,19.655261034292682,71.08438414885373,12.572964755397487
13,0.9354027183269297,19.662733862068524,68.83304993340266,10.971552669907986
14,0.9178135064471123,19.700088266475095,8.0016153344674,7.680530446127822
15,0.9968159733535366,19.651445598455986,8.576485113339144,5.1758960638625195
16,0.9643402496799501,19.699445974553253,10.320637625437588,7.44550069291952
17,0.9297171652135099,19.716894395864884,15.211475812557245,6.884773398169904
18,0.9550780692698587,19.70567269611666,15.996827744954281,9.520345517672146
19,0.9197726295354125,19.7020267917294,71.13958827980387,12.304599737703633
20,0.9882693714714773,19.66844032182557,15.467648927354757,14.354053055174884
21,0.8795912160874889,19.724146979856478,14.442906465210491,60.853681552030615
22,0.8579944901191661,19.747846268665423,11.383240734185964,60.26831320100319
23,0.8230637394201126,19.732932138194954,11.637739809134521,56.25023611334191
24,0.7759754079224411,19.715138945363854,14.47158147760979,60.11002288011725
25,0.8981418778200266,19.66139156813451,17.503745314894406,63.47911778694821
26,0.8828295048466261,19.655245659845132,16.823804546224682,63.539391459103776
27,0.865081704175894,19.710095746192607,17.39923882663864,61.789678792741334
28,0.909947773975178,19.616379888380607,22.36940940780945,64.17948191856307
29,0.908615449550395,19.65196781148517,22.77247298042016,62.219975818840105
30,0.9528115718629651,19.636381789735413,22.86587891419344,61.06996197842196
31,0.9325706060869081,19.683050256202172,18.894508375449554,63.213382587929736
32,0.9754964889079968,19.69718587466506,18.126579913218205,17.323847557093323
33,0.8752512763670539,19.733561850792196,19.541046350292863,16.224783479502108
34,0.789736598445735,19.766531951464735,18.457984857349846,9.36504677515788
35,0.9628581332882986,19.70124505482232,16.5548685348571,9.601211217311906
36,0.9408016617196178,19.704286115789305,19.926946847711317,12.109267799782922
37,0.9796489797427841,19.72097934164114,17.177040658882213,17.489536390790445
